"","i","effect_size","rho_predictors","n","causal_struc","shap_time","megashap_time","ji_shap","ji_mshap","cor_shap","cor_mshap"
"284",284,0.415788701615308,0.288514818160581,800,"multiplicative",1.38475608825684,0.180865049362183,1,0.666666666666667,0.517905736481951,0.515975813303132
"285",285,0.145550123945443,0.512687695477866,800,"multiplicative",1.23444390296936,0.183904886245728,0.666666666666667,0.666666666666667,0.57280272653617,0.606946050160351
"286",286,0.013000006951392,0.0801347866114312,100,"local_only",0.828481912612915,0.151372909545898,0.25,0.25,0.304833169875544,0.261918713042147
"287",287,0.526172391940806,0.578727510961546,200,"signal_diff",0.903653860092163,0.159451007843018,0.428571428571429,0.428571428571429,0.832647717921503,0.819149813601065
"288",288,0.211862049407164,0.430319618970733,100,"local_only",0.822102069854736,0.162482976913452,0.428571428571429,0.428571428571429,0.558288767490152,0.52558158512274
"289",289,0.525034792583258,0.0454408211986746,1600,"linear",1.84698104858398,0.334184885025024,1,1,0.863138715306424,0.867237880922159
"290",290,0.29293418715948,0.685332242829983,400,"multiplicative",0.996730089187622,0.172114849090576,0.666666666666667,0.666666666666667,0.534623659768261,0.53310095466963
"291",291,0.148626478136123,0.673038482850419,800,"linear",1.27220511436462,0.184751033782959,0.428571428571429,0.428571428571429,0.745311164151977,0.735663790157166
"292",292,0.134168227414366,0.605091192959568,1600,"linear",1.85448479652405,0.218188047409058,1,1,0.716519201686837,0.71151341510222
"293",293,0.370681836898863,0.17909888216587,400,"multiplicative",1.12395715713501,0.171381950378418,0.428571428571429,0.428571428571429,0.339497155602184,0.305278790747649
"294",294,0.477316809837217,0.651785028905442,1600,"interaction",1.82361006736755,0.220155000686646,1,1,0.790200408509035,0.784225710721615
"295",295,0.420018469301016,0.284845257654743,800,"local_only",1.39922595024109,0.187976121902466,0.428571428571429,0.428571428571429,0.994706293513243,0.994777468904969
"296",296,0.382700194558511,0.485762158766978,1600,"cond_imp",1.7836651802063,0.218876838684082,0.666666666666667,0.666666666666667,0.765407757288656,0.76105734450195
